,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,launceston,-41.45,147.17,39,93,75,9.17,AU,1595272653
1,marakkanam,12.2,79.95,83.62,80,98,15.03,IN,1595272654
2,busselton,-33.65,115.33,50,66,36,13.85,AU,1595271978
3,quatre cocos,-20.21,57.76,69.8,60,75,10.29,MU,1595272090
4,ushuaia,-54.8,-68.3,32,87,0,4.7,AR,1595272186
5,dingle,11,122.67,77.22,85,47,4.74,PH,1595272247
6,butaritari,3.07,172.79,82.89,67,5,6.91,KI,1595272221
7,hofn,64.25,-15.21,53.6,81,75,4.7,IS,1595272261
8,kiboga,0.92,31.77,65.5,73,100,0.76,UG,1595272656
9,bethel,41.37,-73.41,91.99,55,20,8.05,US,1595272200
10,pizarro,4.95,-77.37,80.73,85,100,12.53,CO,1595272563
11,saint-philippe,-21.36,55.77,68,68,75,12.75,RE,1595272217
12,atuona,-9.8,-139.03,80.04,79,24,19.62,PF,1595272512
13,hilo,19.73,-155.09,82.4,54,1,4.7,US,1595272196
14,port elizabeth,-33.92,25.57,60.8,100,23,6.93,ZA,1595272206
15,lavrentiya,65.58,-171,44.98,78,100,7.14,RU,1595272220
16,hermanus,-34.42,19.23,57.99,80,0,1.01,ZA,1595272658
17,port lincoln,-34.73,135.87,52.72,64,79,4.99,AU,1595272658
18,chuy,-33.7,-53.46,69.53,80,100,7.85,UY,1595271977
19,hithadhoo,-0.6,73.08,84,79,100,14.27,MV,1595272200
20,ribeira grande,38.52,-28.7,73.4,60,75,5.82,PT,1595272203
21,cape town,-33.93,18.42,59,87,0,2.24,ZA,1595272512
22,vila franca do campo,37.72,-25.43,73.4,60,40,10.29,PT,1595272231
23,punta arenas,-53.15,-70.92,33.8,80,75,6.93,CL,1595272659
24,karagaylinskiy,54.17,86.55,63.19,87,44,2.17,RU,1595272659
25,saint george,37.1,-113.58,100.99,13,1,13.87,US,1595271966
26,virginia beach,36.85,-75.98,100,47,40,9.17,US,1595272155
27,gravdal,68.12,13.5,55.4,82,75,4.7,NO,1595272660
28,kahului,20.89,-156.47,82.4,58,40,18.34,US,1595272004
29,shache,38.42,77.24,75.67,27,100,5.21,CN,1595272660
30,port alfred,-33.59,26.89,59.83,60,0,5.84,ZA,1595272661
31,labuhan,-6.88,112.21,77.27,87,36,7,ID,1595272592
32,fairview,40.81,-74,96.8,46,20,5.82,US,1595272532
33,castro,-24.79,-50.01,68.72,60,0,6.62,BR,1595272200
34,bambous virieux,-20.34,57.76,69.8,60,75,10.29,MU,1595272214
35,albany,42.6,-73.97,93,32,13,5.01,US,1595272570
36,te anau,-45.42,167.72,41.45,90,97,2.64,NZ,1595272662
37,kapaa,22.08,-159.32,82.4,74,90,14.99,US,1595272337
38,tual,-5.67,132.75,79.12,84,39,17.34,ID,1595272663
39,barrow,71.29,-156.79,33.8,86,90,10.29,US,1595272017
40,carnarvon,-24.87,113.63,55.4,71,0,8.05,AU,1595272196
41,poptun,16.33,-89.42,87.37,51,65,1.79,GT,1595272663
42,baoqing,46.33,132.21,60.39,94,37,3.67,CN,1595272664
43,lebu,-37.62,-73.65,54.23,82,64,11.99,CL,1595271929
44,mahibadhoo,3.78,72.97,83.03,77,100,19.13,MV,1595272664
45,amapa,1,-52,82.67,75,94,3.49,BR,1595272664
46,najran,17.49,44.13,86,40,0,4.7,SA,1595272665
47,san patricio,19.22,-104.7,89.6,66,20,11.41,MX,1595272210
48,bluff,-46.6,168.33,39,83,100,3,NZ,1595272665
49,taltal,-25.4,-70.48,64.2,58,100,3.67,CL,1595272666
50,georgetown,5.41,100.34,78.8,94,20,2.24,MY,1595272050
51,paraiba do sul,-22.16,-43.29,72,62,0,5.21,BR,1595272666
52,foundiougne,14.13,-16.47,93.2,75,75,4.7,SN,1595272666
53,itaituba,-4.28,-55.98,95,41,40,6.93,BR,1595272666
54,hobart,-42.88,147.33,46.99,81,90,5.82,AU,1595272367
55,blagoveshchenka,52.83,79.87,66.42,90,23,6.42,RU,1595272667
56,chokurdakh,70.63,147.92,67.05,49,100,9.8,RU,1595272226
57,khatanga,71.97,102.5,51.35,69,100,5.97,RU,1595271966
58,bredasdorp,-34.53,20.04,60.8,87,0,13.87,ZA,1595272202
59,katangli,51.71,143.23,51.73,97,96,13.31,RU,1595272668
60,mataura,-46.19,168.86,39,83,100,3,NZ,1595272668
61,yellowknife,62.46,-114.35,73,64,75,12.75,CA,1595272205
62,yar-sale,66.83,70.83,60.57,54,100,6.31,RU,1595272212
63,wembley,-31.93,115.8,50,76,98,10.29,AU,1595272669
64,alindao,5.03,21.21,69.62,94,97,2.39,CF,1595272669
65,husavik,66.04,-17.34,51.8,66,20,10.29,IS,1595272670
66,esperance,-33.87,121.9,50,81,90,5.82,AU,1595272011
67,rikitea,-23.12,-134.97,68.11,60,75,14.92,PF,1595272207
68,ponta delgada,37.73,-25.67,73.4,60,40,10.29,PT,1595272670
69,vaini,-21.2,-175.2,68,82,20,4.7,TO,1595272196
70,leningradskiy,69.38,178.42,43.66,73,0,8.57,RU,1595272216
71,tasiilaq,65.61,-37.64,48.2,76,40,10.29,GL,1595272002
72,big spring,32.25,-101.48,93,29,1,9.17,US,1595272672
73,provideniya,64.38,-173.3,47.44,71,74,4.65,RU,1595272218
74,puerto ayora,-0.74,-90.35,75.2,73,75,5.82,EC,1595272672
75,talcahuano,-36.72,-73.12,57.2,76,40,12.75,CL,1595272609
76,kaitangata,-46.28,169.85,50,65,100,1.99,NZ,1595272216
77,tuktoyaktuk,69.45,-133.04,42.8,87,90,10.29,CA,1595272049
78,teahupoo,-17.83,-149.27,78.8,74,20,2.24,PF,1595272673
79,ola,59.58,151.28,56.32,79,0,3.2,RU,1595272673
80,alta floresta,-9.88,-56.09,93.2,28,75,6.93,BR,1595272673
81,rincon,32.3,-81.24,97,53,40,12.75,US,1595272607
82,yulara,-25.24,130.99,46.4,93,75,5.82,AU,1595272236
83,skibbereen,51.55,-9.27,60.8,55,20,11.41,IE,1595272674
84,walla walla,46.06,-118.34,88,30,1,4.7,US,1595272455
85,iqaluit,63.75,-68.51,46.4,100,90,4.7,CA,1595272001
86,cidreira,-30.18,-50.21,72.91,72,99,2.26,BR,1595271970
87,yenagoa,4.92,6.26,74.05,94,100,3.09,NG,1595272675
88,kargil,34.57,76.1,55.51,47,0,7.47,IN,1595272676
89,road town,18.42,-64.62,87.8,62,40,8.05,VG,1595272676
90,myitkyina,25.38,97.4,73.13,96,100,1.86,MM,1595272083
91,peace river,56.25,-117.29,69.8,64,40,3.36,CA,1595272676
92,vaitape,-16.52,-151.75,78.15,81,40,25.08,PF,1595272501
93,mokhsogollokh,61.47,128.92,66.51,91,100,7.76,RU,1595272677
94,sur,22.57,59.53,87.35,66,81,16.89,OM,1595272252
95,saint-pierre,-21.34,55.48,68,68,75,12.75,RE,1595272206
96,qaanaaq,77.48,-69.36,47.07,74,100,0.87,GL,1595272525
97,faanui,-16.48,-151.75,77.32,83,37,24.96,PF,1595272228
98,saraland,30.82,-88.07,91.99,63,59,5.99,US,1595272678
99,avarua,-21.21,-159.78,75.2,78,100,21.92,CK,1595272208
100,klaksvik,62.23,-6.59,50,93,54,13.87,FO,1595272265
101,san quintin,30.48,-115.95,79.3,45,0,19.53,MX,1595272221
102,portland,45.52,-122.68,82.99,54,1,8.05,US,1595272086
103,mbanza-ngungu,-5.25,14.87,75.34,37,0,4.72,CD,1595272266
104,flin flon,54.77,-101.86,73.4,40,40,6.93,CA,1595272523
105,vardo,70.37,31.11,53.6,87,100,12.75,NO,1595272245
106,faridpur,23.6,89.83,78.8,94,75,9.17,BD,1595272680
107,vao,-22.67,167.48,68.88,63,50,12.68,NC,1595272226
108,lorengau,-2.02,147.27,82.06,72,73,6.62,PG,1595272232
109,opuwo,-18.06,13.84,60.28,33,0,8.19,NA,1595272680
110,kruisfontein,-34,24.73,59.99,95,98,5.66,ZA,1595272220
111,torres,-29.34,-49.73,72.84,73,34,4.45,BR,1595272232
112,porto walter,-8.27,-72.74,92.43,43,3,1.99,BR,1595272681
113,villarrica,-25.75,-56.43,82.08,55,0,5.3,PY,1595272681
114,kirakira,-10.45,161.92,75.24,82,9,7.7,SB,1595272682
115,dunda,-8.12,34.25,57.07,66,0,2.17,TZ,1595272682
116,new norfolk,-42.78,147.06,46.99,88,83,1.01,AU,1595272138
117,mahebourg,-20.41,57.7,69.8,60,75,10.29,MU,1595272225
118,ciudad bolivar,8.12,-63.55,88.86,59,65,3.11,VE,1595272683
119,pisco,-13.7,-76.22,62.01,87,90,6.93,PE,1595271966
120,esik,43.36,77.45,73.4,40,75,4.47,KZ,1595272684
121,nemuro,43.32,145.57,59.72,95,55,2.17,JP,1595272684
122,karratha,-20.74,116.85,67.03,50,0,12.21,AU,1595272636
123,nanortalik,60.14,-45.24,51.01,64,2,3.02,GL,1595272222
124,sitka,57.05,-135.33,57.2,93,90,11.41,US,1595272684
125,margate,51.38,1.39,64,68,0,1.99,GB,1595272262
126,cherskiy,68.75,161.3,67.57,45,86,4.81,RU,1595272209
127,east london,-33.02,27.91,65.71,39,0,3.42,ZA,1595272016
128,upernavik,72.79,-56.15,51.06,47,0,10.49,GL,1595272217
129,asopos,36.73,22.87,75.78,66,0,1.12,GR,1595272686
130,catuday,16.29,119.81,79.88,80,9,5.66,PH,1595272686
131,miramar,25.99,-80.23,91,62,40,16.11,US,1595272686
132,havoysund,71,24.66,55.4,100,90,5.82,NO,1595272234
133,turochak,52.26,87.12,59.79,88,85,1.34,RU,1595272686
134,riyadh,24.69,46.72,100.4,12,100,8.05,SA,1595272157
135,souillac,-20.52,57.52,69.8,60,75,10.29,MU,1595272196
136,carazinho,-28.28,-52.79,70.9,77,34,8.32,BR,1595272687
137,qaqortoq,60.72,-46.03,68,37,20,9.17,GL,1595272688
138,mar del plata,-38,-57.56,53.6,100,90,14.99,AR,1595272145
139,ponta do sol,32.67,-17.1,71.01,64,1,4.09,PT,1595272199
