,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
0,-41.45,39,93,75,9.17
1,12.2,83.62,80,98,15.03
2,-33.65,50,66,36,13.85
3,-20.21,69.8,60,75,10.29
4,-54.8,32,87,0,4.7
5,11,77.22,85,47,4.74
6,3.07,82.89,67,5,6.91
7,64.25,53.6,81,75,4.7
8,0.92,65.5,73,100,0.76
9,41.37,91.99,55,20,8.05
10,4.95,80.73,85,100,12.53
11,-21.36,68,68,75,12.75
12,-9.8,80.04,79,24,19.62
13,19.73,82.4,54,1,4.7
14,-33.92,60.8,100,23,6.93
15,65.58,44.98,78,100,7.14
16,-34.42,57.99,80,0,1.01
17,-34.73,52.72,64,79,4.99
18,-33.7,69.53,80,100,7.85
19,-0.6,84,79,100,14.27
20,38.52,73.4,60,75,5.82
21,-33.93,59,87,0,2.24
22,37.72,73.4,60,40,10.29
23,-53.15,33.8,80,75,6.93
24,54.17,63.19,87,44,2.17
25,37.1,100.99,13,1,13.87
26,36.85,100,47,40,9.17
27,68.12,55.4,82,75,4.7
28,20.89,82.4,58,40,18.34
29,38.42,75.67,27,100,5.21
30,-33.59,59.83,60,0,5.84
31,-6.88,77.27,87,36,7
32,40.81,96.8,46,20,5.82
33,-24.79,68.72,60,0,6.62
34,-20.34,69.8,60,75,10.29
35,42.6,93,32,13,5.01
36,-45.42,41.45,90,97,2.64
37,22.08,82.4,74,90,14.99
38,-5.67,79.12,84,39,17.34
39,71.29,33.8,86,90,10.29
40,-24.87,55.4,71,0,8.05
41,16.33,87.37,51,65,1.79
42,46.33,60.39,94,37,3.67
43,-37.62,54.23,82,64,11.99
44,3.78,83.03,77,100,19.13
45,1,82.67,75,94,3.49
46,17.49,86,40,0,4.7
47,19.22,89.6,66,20,11.41
48,-46.6,39,83,100,3
49,-25.4,64.2,58,100,3.67
50,5.41,78.8,94,20,2.24
51,-22.16,72,62,0,5.21
52,14.13,93.2,75,75,4.7
53,-4.28,95,41,40,6.93
54,-42.88,46.99,81,90,5.82
55,52.83,66.42,90,23,6.42
56,70.63,67.05,49,100,9.8
57,71.97,51.35,69,100,5.97
58,-34.53,60.8,87,0,13.87
59,51.71,51.73,97,96,13.31
60,-46.19,39,83,100,3
61,62.46,73,64,75,12.75
62,66.83,60.57,54,100,6.31
63,-31.93,50,76,98,10.29
64,5.03,69.62,94,97,2.39
65,66.04,51.8,66,20,10.29
66,-33.87,50,81,90,5.82
67,-23.12,68.11,60,75,14.92
68,37.73,73.4,60,40,10.29
69,-21.2,68,82,20,4.7
70,69.38,43.66,73,0,8.57
71,65.61,48.2,76,40,10.29
72,32.25,93,29,1,9.17
73,64.38,47.44,71,74,4.65
74,-0.74,75.2,73,75,5.82
75,-36.72,57.2,76,40,12.75
76,-46.28,50,65,100,1.99
77,69.45,42.8,87,90,10.29
